,transaction_date,Category,Amount Paid,Payment Mode,Description,Cashback
65,2023-04-20,School fees,5000,Cash,halfyearly exam fees paid,0.0
66,2023-04-22,Transportation,1500,Cash,Thus skin city.,0.0
67,2023-04-27,Shopping,1000,Online,Expenditures on clothing and personal items for everyday use,0.0
68,2023-04-23,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
69,2023-04-12,Water bill,100,Online,Charges for consumption of water services in a household,0.0
70,2023-04-22,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
71,2023-04-20,Food,200,Online,Easy audience politics a good.,0.0
72,2023-04-05,Food,200,Debit card,Investment design behavior hospital too south.,0.0
73,2023-04-25,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
74,2023-04-20,YouTube,300,Debit card,Itself walk from them guess source author.,0.0
75,2023-04-23,Audible,299,Debit card,Television stage security.,0.0
76,2023-04-22,Netflix,300,Cash,Subscription fees for movies and TV shows on the platform,0.0
77,2023-04-11,Transportation,1500,Credit card,Myself however back brother.,0.0
78,2023-04-13,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
79,2023-04-19,Disney Hotstar,499,Debit card,Focus factor quality attention avoid.,0.0
80,2023-04-25,Transportation,1500,Credit card,Night teach well movement difference improve.,0.0
81,2023-04-26,YouTube,300,Credit card,Sense color first movement.,0.0
82,2023-04-02,House Rent,6000,Credit card,Monthly payment is paid,0.0
83,2023-04-28,Groceries,500,Cash,1 week groceries are buyed,0.0
84,2023-04-28,Groceries,500,Debit card,1 week groceries are buyed,0.0
85,2023-04-13,Food,200,Debit card,Until himself statement leave hot.,0.0
86,2023-04-02,Netflix,300,Credit card,Subscription fees for movies and TV shows on the platform,0.0
87,2023-04-26,Entertainment,250,Cash,Eye serve reflect trouble.,0.0
88,2023-04-04,Shopping,1000,Online,Expenditures on clothing and personal items for everyday use,90.71
89,2023-04-20,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
90,2023-04-19,Food,200,Credit card,Per first respond meeting realize use.,0.0
91,2023-04-24,Netflix,300,Cash,Subscription fees for movies and TV shows on the platform,0.0
92,2023-04-21,Shopping,1000,Debit card,Expenditures on clothing and personal items for everyday use,0.0
93,2023-04-28,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,39.16
94,2023-04-26,YouTube,300,Debit card,Your player prove.,0.0
95,2023-04-22,Groceries,500,Cash,1 week groceries are buyed,0.0
96,2023-04-15,wifi,600,Cash,Costs associated with internet connectivity,0.0
97,2023-04-22,Travel,400,Cash,Range thank wear.,0.0
98,2023-04-28,Entertainment,250,Credit card,Notice out visit short.,0.0
99,2023-04-14,YouTube,300,Credit card,Carry knowledge travel happy.,0.0
100,2023-04-18,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,56.06
0,2023-05-07,Groceries,500,Debit card,1 week groceries are buyed,0.0
1,2023-05-09,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
2,2023-05-14,Investment,3000,Online,Expert drug at maintain worry.,0.0
3,2023-05-13,YouTube,300,Online,Receive hospital myself finish else pull.,21.39
4,2023-05-04,YouTube,300,Cash,Movement those word thank.,0.0
5,2023-05-11,Entertainment,250,Cash,Look our southern force.,0.0
6,2023-05-05,Entertainment,250,Online,Born many Mr.,0.0
7,2023-05-14,Shopping,1000,Online,Expenditures on clothing and personal items for everyday use,64.8
8,2023-05-16,Electricity bill,700,Debit card,Monthly bill for electrical energy usage in home,0.0
9,2023-05-21,Food,200,Cash,Gas policy start low recent police cost.,0.0
10,2023-05-06,Entertainment,250,Credit card,Economy participant anyone.,0.0
11,2023-05-05,Entertainment,250,Credit card,End themselves lawyer.,0.0
12,2023-05-25,House Rent,6000,Credit card,Monthly payment is paid,0.0
13,2023-05-28,Electricity bill,700,Debit card,Monthly bill for electrical energy usage in home,0.0
14,2023-05-17,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,0.0
15,2023-05-24,Food,200,Debit card,Issue after southern edge well series.,0.0
16,2023-05-28,Audible,299,Debit card,Police least success a expect however.,0.0
17,2023-05-15,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
18,2023-05-22,Transportation,1500,Debit card,Question writer court.,0.0
19,2023-05-11,Gas,1000,Cash,Expenses for fuel used in heating and cooking,0.0
20,2023-05-11,wifi,600,Cash,Costs associated with internet connectivity,0.0
21,2023-05-07,Audible,299,Credit card,Professor music mention have activity son.,0.0
22,2023-05-02,Spotify,350,Online,Subscription fees for music and podcasts from the service,37.25
23,2023-05-15,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,0.0
24,2023-05-08,Groceries,500,Online,1 week groceries are buyed,30.49
25,2023-05-21,Shopping,1000,Debit card,Expenditures on clothing and personal items for everyday use,0.0
26,2023-05-13,School fees,5000,Online,halfyearly exam fees paid,0.0
27,2023-05-15,Health,2000,Online,"Costs for medical care,health insurance and wellness services",306.4
28,2023-05-12,Health,2000,Credit card,"Costs for medical care,health insurance and wellness services",0.0
29,2023-05-13,Shopping,1000,Online,Expenditures on clothing and personal items for everyday use,0.0
30,2023-05-18,Transportation,1500,Credit card,Accept same right from specific nor.,0.0
31,2023-05-10,Shopping,1000,Online,Expenditures on clothing and personal items for everyday use,0.0
32,2023-05-21,School fees,5000,Cash,halfyearly exam fees paid,0.0
33,2023-05-01,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,0.0
34,2023-05-04,Entertainment,250,Cash,Cost return song situation write discuss.,0.0
35,2023-05-12,Entertainment,250,Online,Base respond about appear analysis wide.,37.48
36,2023-05-01,Audible,299,Cash,Into note much environment five.,0.0
37,2023-05-08,Disney Hotstar,499,Debit card,Poor some just.,0.0
38,2023-05-13,YouTube,300,Debit card,Development chair thing my.,0.0
39,2023-05-21,YouTube,300,Cash,Group listen certain.,0.0
40,2023-05-22,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,52.14
41,2023-05-22,House Rent,6000,Credit card,Monthly payment is paid,0.0
42,2023-05-01,YouTube,300,Debit card,Stop pretty increase care.,0.0
43,2023-05-27,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
44,2023-05-16,Health,2000,Credit card,"Costs for medical care,health insurance and wellness services",0.0
45,2023-05-06,Food,200,Online,Thousand here beat cause by.,10.26
46,2023-05-07,Water bill,100,Debit card,Charges for consumption of water services in a household,0.0
47,2023-05-20,House Rent,6000,Credit card,Monthly payment is paid,0.0
48,2023-05-19,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,24.31
49,2023-05-27,Disney Hotstar,499,Credit card,Serve PM inside.,0.0
50,2023-05-27,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
51,2023-05-09,YouTube,300,Debit card,System cost effort.,0.0
52,2023-05-06,Audible,299,Credit card,Air and build every thousand economic.,0.0
53,2023-05-12,Food,200,Debit card,Try service talk.,0.0
54,2023-05-19,Groceries,500,Credit card,1 week groceries are buyed,0.0
55,2023-05-08,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
56,2023-05-25,YouTube,300,Cash,Effect forget employee blue.,0.0
57,2023-05-29,Netflix,300,Credit card,Subscription fees for movies and TV shows on the platform,0.0
58,2023-05-24,Spotify,350,Cash,Subscription fees for music and podcasts from the service,0.0
59,2023-05-27,YouTube,300,Cash,Bit woman remain involve.,0.0
60,2023-05-28,Disney Hotstar,499,Online,Strategy executive side man enjoy.,0.0
61,2023-05-16,House Rent,6000,Debit card,Monthly payment is paid,0.0
62,2023-05-12,Entertainment,250,Debit card,Realize pretty body anyone.,0.0
63,2023-05-10,wifi,600,Credit card,Costs associated with internet connectivity,0.0
64,2023-05-08,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
65,2023-05-18,YouTube,300,Credit card,Section role big knowledge describe than.,0.0
66,2023-05-10,Audible,299,Debit card,Sport prove keep.,0.0
67,2023-05-02,Transportation,1500,Cash,Look several fight including bad.,0.0
68,2023-05-12,Disney Hotstar,499,Credit card,Management article attack time until.,0.0
69,2023-05-11,Gas,1000,Cash,Expenses for fuel used in heating and cooking,0.0
70,2023-05-21,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
71,2023-05-25,Health,2000,Debit card,"Costs for medical care,health insurance and wellness services",0.0
72,2023-05-27,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
73,2023-05-04,Spotify,350,Credit card,Subscription fees for music and podcasts from the service,0.0
74,2023-05-01,Groceries,500,Online,1 week groceries are buyed,88.26
75,2023-05-11,Transportation,1500,Cash,Ground strong teach because money.,0.0
76,2023-05-08,wifi,600,Credit card,Costs associated with internet connectivity,0.0
77,2023-05-03,YouTube,300,Cash,As guess author participant field that.,0.0
78,2023-05-15,Disney Hotstar,499,Credit card,Around action the.,0.0
79,2023-05-17,Disney Hotstar,499,Cash,Number mission five.,0.0
80,2023-05-28,House Rent,6000,Credit card,Monthly payment is paid,0.0
81,2023-05-16,Spotify,350,Cash,Subscription fees for music and podcasts from the service,0.0
82,2023-05-15,Travel,400,Online,Others fear fear field.,33.52
83,2023-05-15,Entertainment,250,Credit card,Room opportunity under.,0.0
84,2023-05-13,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,42.57
85,2023-05-16,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,55.08
86,2023-05-18,Entertainment,250,Online,Share college language quality.,0.0
87,2023-05-30,Gas,1000,Online,Expenses for fuel used in heating and cooking,0.0
88,2023-05-17,Health,2000,Online,"Costs for medical care,health insurance and wellness services",0.0
89,2023-05-12,Entertainment,250,Cash,Street mouth mouth.,0.0
90,2023-05-03,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
91,2023-05-21,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
92,2023-05-03,Entertainment,250,Online,Name director positive cultural.,0.0
93,2023-05-23,Entertainment,250,Cash,Sport may study site.,0.0
94,2023-05-20,House Rent,6000,Cash,Monthly payment is paid,0.0
95,2023-05-09,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
96,2023-05-14,Groceries,500,Cash,1 week groceries are buyed,0.0
97,2023-05-01,Health,2000,Credit card,"Costs for medical care,health insurance and wellness services",0.0
98,2023-05-12,Netflix,300,Cash,Subscription fees for movies and TV shows on the platform,0.0
99,2023-05-16,Travel,400,Cash,Child security recently country involve real.,0.0
100,2023-05-01,Gas,1000,Cash,Expenses for fuel used in heating and cooking,0.0
0,2023-06-14,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
1,2023-06-07,YouTube,300,Debit card,Prove significant design wrong we.,0.0
2,2023-06-28,Spotify,350,Credit card,Subscription fees for music and podcasts from the service,0.0
3,2023-06-13,Travel,400,Cash,Need trip board kind action.,0.0
4,2023-06-06,Spotify,350,Credit card,Subscription fees for music and podcasts from the service,0.0
5,2023-06-10,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,63.97
6,2023-06-06,Shopping,1000,Online,Expenditures on clothing and personal items for everyday use,0.0
7,2023-06-11,Health,2000,Cash,"Costs for medical care,health insurance and wellness services",0.0
8,2023-06-20,Spotify,350,Online,Subscription fees for music and podcasts from the service,65.69
9,2023-06-15,Entertainment,250,Cash,Project report seem authority practice man.,0.0
10,2023-06-02,Transportation,1500,Credit card,Yourself share increase grow American so simply.,0.0
11,2023-06-24,Spotify,350,Credit card,Subscription fees for music and podcasts from the service,0.0
12,2023-06-06,Electricity bill,700,Credit card,Monthly bill for electrical energy usage in home,0.0
13,2023-06-26,Spotify,350,Debit card,Subscription fees for music and podcasts from the service,0.0
14,2023-06-16,Entertainment,250,Credit card,Media process put bad reflect.,0.0
15,2023-06-24,House Rent,6000,Cash,Monthly payment is paid,0.0
16,2023-06-05,Entertainment,250,Credit card,Film nor box house open throughout.,0.0
17,2023-06-20,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
18,2023-06-12,YouTube,300,Debit card,Not top wide maybe poor.,0.0
19,2023-06-17,Audible,299,Online,Will according fast write.,37.2
20,2023-06-20,YouTube,300,Debit card,Area might center heavy author.,0.0
21,2023-06-10,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,0.0
22,2023-06-25,Disney Hotstar,499,Online,Wrong poor join.,0.0
23,2023-06-08,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
24,2023-06-26,wifi,600,Debit card,Costs associated with internet connectivity,0.0
25,2023-06-29,School fees,5000,Credit card,halfyearly exam fees paid,0.0
26,2023-06-18,School fees,5000,Debit card,halfyearly exam fees paid,0.0
27,2023-06-09,Health,2000,Credit card,"Costs for medical care,health insurance and wellness services",0.0
28,2023-06-10,House Rent,6000,Debit card,Monthly payment is paid,0.0
29,2023-06-18,Food,200,Cash,Create job threat.,0.0
30,2023-06-05,Shopping,1000,Cash,Expenditures on clothing and personal items for everyday use,0.0
31,2023-06-13,Groceries,500,Debit card,1 week groceries are buyed,0.0
32,2023-06-01,Travel,400,Online,Writer together plan staff happen.,0.0
33,2023-06-23,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
34,2023-06-27,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
35,2023-06-20,Food,200,Cash,Now whatever month.,0.0
36,2023-06-29,Audible,299,Credit card,Son leader dinner.,0.0
37,2023-06-14,Groceries,500,Credit card,1 week groceries are buyed,0.0
38,2023-06-03,Disney Hotstar,499,Credit card,Town sense family expect.,0.0
39,2023-06-23,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
40,2023-06-20,House Rent,6000,Cash,Monthly payment is paid,0.0
41,2023-06-11,wifi,600,Credit card,Costs associated with internet connectivity,0.0
42,2023-06-05,Groceries,500,Online,1 week groceries are buyed,28.75
43,2023-06-16,Shopping,1000,Debit card,Expenditures on clothing and personal items for everyday use,0.0
44,2023-06-04,Spotify,350,Debit card,Subscription fees for music and podcasts from the service,0.0
45,2023-06-01,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
46,2023-06-24,Electricity bill,700,Credit card,Monthly bill for electrical energy usage in home,0.0
47,2023-06-18,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
48,2023-06-06,House Rent,6000,Credit card,Monthly payment is paid,0.0
49,2023-06-09,Food,200,Debit card,Maybe for although his good.,0.0
50,2023-06-08,Netflix,300,Credit card,Subscription fees for movies and TV shows on the platform,0.0
51,2023-06-29,Transportation,1500,Credit card,Mother consumer all catch type prove.,0.0
52,2023-06-11,Travel,400,Online,Sign likely film.,48.24
53,2023-06-09,Shopping,1000,Online,Expenditures on clothing and personal items for everyday use,0.0
54,2023-06-16,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
55,2023-06-20,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
56,2023-06-27,Spotify,350,Credit card,Subscription fees for music and podcasts from the service,0.0
57,2023-06-21,Gas,1000,Cash,Expenses for fuel used in heating and cooking,0.0
58,2023-06-17,Investment,3000,Cash,Hotel measure hair artist.,0.0
59,2023-06-10,School fees,5000,Debit card,halfyearly exam fees paid,0.0
60,2023-06-27,Entertainment,250,Credit card,Employee mother Mr start effort capital.,0.0
61,2023-06-26,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
62,2023-06-01,Gas,1000,Online,Expenses for fuel used in heating and cooking,147.96
63,2023-06-28,YouTube,300,Online,He skill hot.,52.2
64,2023-06-07,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
65,2023-06-24,Water bill,100,Debit card,Charges for consumption of water services in a household,0.0
66,2023-06-12,Electricity bill,700,Credit card,Monthly bill for electrical energy usage in home,0.0
67,2023-06-02,Groceries,500,Online,1 week groceries are buyed,46.6
68,2023-06-21,Transportation,1500,Online,Represent must play.,0.0
69,2023-06-17,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
70,2023-06-24,Groceries,500,Cash,1 week groceries are buyed,0.0
71,2023-06-23,Health,2000,Debit card,"Costs for medical care,health insurance and wellness services",0.0
72,2023-06-27,House Rent,6000,Cash,Monthly payment is paid,0.0
73,2023-06-29,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
74,2023-06-03,Investment,3000,Credit card,Cup serious operation create glass shoulder she.,0.0
75,2023-06-07,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
76,2023-06-20,Audible,299,Online,Candidate figure opportunity.,0.0
77,2023-06-26,YouTube,300,Credit card,Write professor capital reduce.,0.0
78,2023-06-06,YouTube,300,Credit card,Mrs party near executive tell what.,0.0
79,2023-06-08,wifi,600,Online,Costs associated with internet connectivity,0.0
80,2023-06-16,Shopping,1000,Online,Expenditures on clothing and personal items for everyday use,117.6
81,2023-06-06,YouTube,300,Cash,Activity special knowledge animal step.,0.0
82,2023-06-22,Groceries,500,Cash,1 week groceries are buyed,0.0
83,2023-06-09,wifi,600,Debit card,Costs associated with internet connectivity,0.0
84,2023-06-28,Investment,3000,Online,Bed travel president garden.,525.66
85,2023-06-10,Travel,400,Credit card,Catch school rule behind since of.,0.0
86,2023-06-11,YouTube,300,Credit card,Couple stay outside material.,0.0
87,2023-06-11,Health,2000,Debit card,"Costs for medical care,health insurance and wellness services",0.0
88,2023-06-08,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,28.35
89,2023-06-26,Transportation,1500,Online,Six outside join similar cause.,0.0
90,2023-06-21,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
91,2023-06-13,School fees,5000,Credit card,halfyearly exam fees paid,0.0
92,2023-06-27,House Rent,6000,Credit card,Monthly payment is paid,0.0
93,2023-06-11,Groceries,500,Online,1 week groceries are buyed,0.0
94,2023-06-01,Entertainment,250,Debit card,Name citizen scene.,0.0
95,2023-06-26,Netflix,300,Cash,Subscription fees for movies and TV shows on the platform,0.0
96,2023-06-28,Spotify,350,Online,Subscription fees for music and podcasts from the service,30.97
97,2023-06-09,Disney Hotstar,499,Online,Color good play.,71.26
98,2023-06-19,Disney Hotstar,499,Debit card,Base open help create commercial.,0.0
99,2023-06-06,Spotify,350,Credit card,Subscription fees for music and podcasts from the service,0.0
100,2023-06-24,Travel,400,Online,Staff game right type place.,0.0
0,2023-07-01,Spotify,350,Credit card,Subscription fees for music and podcasts from the service,0.0
1,2023-07-03,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
2,2023-07-18,Health,2000,Online,"Costs for medical care,health insurance and wellness services",204.73
3,2023-07-03,Groceries,500,Cash,1 week groceries are buyed,0.0
4,2023-07-09,Entertainment,250,Debit card,Few service design member end.,0.0
5,2023-07-10,wifi,600,Online,Costs associated with internet connectivity,57.55
6,2023-07-14,Spotify,350,Credit card,Subscription fees for music and podcasts from the service,0.0
7,2023-07-15,House Rent,6000,Cash,Monthly payment is paid,0.0
8,2023-07-29,YouTube,300,Debit card,Certainly reach whatever.,0.0
9,2023-07-29,Groceries,500,Online,1 week groceries are buyed,67.98
10,2023-07-12,Netflix,300,Credit card,Subscription fees for movies and TV shows on the platform,0.0
11,2023-07-13,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
12,2023-07-06,Entertainment,250,Online,Four ahead of system case.,27.92
13,2023-07-05,School fees,5000,Debit card,halfyearly exam fees paid,0.0
14,2023-07-18,Groceries,500,Cash,1 week groceries are buyed,0.0
15,2023-07-29,House Rent,6000,Debit card,Monthly payment is paid,0.0
16,2023-07-14,Investment,3000,Online,Police citizen paper likely player.,378.71
17,2023-07-27,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
18,2023-07-19,Health,2000,Cash,"Costs for medical care,health insurance and wellness services",0.0
19,2023-07-18,Investment,3000,Debit card,Impact nothing general special.,0.0
20,2023-07-02,Audible,299,Credit card,Not reflect this.,0.0
21,2023-07-26,Disney Hotstar,499,Cash,At today then room cause.,0.0
22,2023-07-15,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
23,2023-07-24,Audible,299,Credit card,Threat quite old although population.,0.0
24,2023-07-02,wifi,600,Credit card,Costs associated with internet connectivity,0.0
25,2023-07-08,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,22.85
26,2023-07-27,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
27,2023-07-23,Health,2000,Credit card,"Costs for medical care,health insurance and wellness services",0.0
28,2023-07-29,Shopping,1000,Debit card,Expenditures on clothing and personal items for everyday use,0.0
29,2023-07-14,Gas,1000,Cash,Expenses for fuel used in heating and cooking,0.0
30,2023-07-05,wifi,600,Credit card,Costs associated with internet connectivity,0.0
31,2023-07-18,Travel,400,Cash,Where local much realize again account.,0.0
32,2023-07-15,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
33,2023-07-26,Travel,400,Debit card,Machine free own not mother may.,0.0
34,2023-07-28,YouTube,300,Online,Community require every ability production.,0.0
35,2023-07-07,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,107.02
36,2023-07-28,Water bill,100,Debit card,Charges for consumption of water services in a household,0.0
37,2023-07-02,Investment,3000,Online,Success guess recently interest type.,0.0
38,2023-07-16,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
39,2023-07-25,House Rent,6000,Cash,Monthly payment is paid,0.0
40,2023-07-17,Disney Hotstar,499,Credit card,Down huge yard red.,0.0
41,2023-07-03,School fees,5000,Debit card,halfyearly exam fees paid,0.0
42,2023-07-17,Groceries,500,Online,1 week groceries are buyed,0.0
43,2023-07-15,Water bill,100,Online,Charges for consumption of water services in a household,5.33
44,2023-07-27,Investment,3000,Debit card,May require onto fly guess station.,0.0
45,2023-07-16,Spotify,350,Online,Subscription fees for music and podcasts from the service,20.81
46,2023-07-09,Transportation,1500,Online,Somebody can probably audience ask the.,278.42
47,2023-07-03,Groceries,500,Cash,1 week groceries are buyed,0.0
48,2023-07-18,Disney Hotstar,499,Cash,Color event decade present imagine central.,0.0
49,2023-07-15,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
50,2023-07-30,Groceries,500,Credit card,1 week groceries are buyed,0.0
51,2023-07-16,Spotify,350,Credit card,Subscription fees for music and podcasts from the service,0.0
52,2023-07-18,Entertainment,250,Credit card,Bed forget consumer professional trial.,0.0
53,2023-07-28,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
54,2023-07-15,Disney Hotstar,499,Debit card,Year author culture thousand raise.,0.0
55,2023-07-03,Travel,400,Online,Evening such of human hand government.,0.0
56,2023-07-16,Transportation,1500,Online,Various population actually.,172.32
57,2023-07-24,Transportation,1500,Cash,Worry board over interesting.,0.0
58,2023-07-05,Shopping,1000,Debit card,Expenditures on clothing and personal items for everyday use,0.0
59,2023-07-16,Travel,400,Cash,Between back leg age feeling.,0.0
60,2023-07-13,Disney Hotstar,499,Debit card,Determine pretty evening force him gas.,0.0
61,2023-07-22,Audible,299,Credit card,Happy tree detail he.,0.0
62,2023-07-07,Travel,400,Online,Rather entire could.,73.81
63,2023-07-19,Spotify,350,Online,Subscription fees for music and podcasts from the service,27.55
64,2023-07-09,Groceries,500,Debit card,1 week groceries are buyed,0.0
65,2023-07-07,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
66,2023-07-15,Investment,3000,Credit card,Side world owner.,0.0
67,2023-07-28,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
68,2023-07-06,Spotify,350,Online,Subscription fees for music and podcasts from the service,31.58
69,2023-07-24,Audible,299,Cash,Once know risk plant season smile.,0.0
70,2023-07-18,Audible,299,Debit card,Add may push.,0.0
71,2023-07-15,YouTube,300,Cash,Organization realize mouth mouth.,0.0
72,2023-07-23,wifi,600,Cash,Costs associated with internet connectivity,0.0
73,2023-07-02,Entertainment,250,Debit card,Perhaps see Republican market her.,0.0
74,2023-07-02,House Rent,6000,Debit card,Monthly payment is paid,0.0
75,2023-07-15,Transportation,1500,Cash,Among home task response few.,0.0
76,2023-07-05,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
77,2023-07-17,Groceries,500,Cash,1 week groceries are buyed,0.0
78,2023-07-01,Investment,3000,Credit card,Significant compare must cost relate than.,0.0
79,2023-07-30,Investment,3000,Cash,Professor push word mind organization.,0.0
80,2023-07-09,Gas,1000,Online,Expenses for fuel used in heating and cooking,0.0
81,2023-07-03,Gas,1000,Online,Expenses for fuel used in heating and cooking,0.0
82,2023-07-19,School fees,5000,Online,halfyearly exam fees paid,372.95
83,2023-07-17,Food,200,Online,Somebody property whole whatever.,17.58
84,2023-07-30,Disney Hotstar,499,Online,Memory adult financial fire.,85.39
85,2023-07-07,Spotify,350,Credit card,Subscription fees for music and podcasts from the service,0.0
86,2023-07-06,YouTube,300,Cash,Member peace good stand.,0.0
87,2023-07-19,Investment,3000,Credit card,Evening themselves tonight Democrat.,0.0
88,2023-07-17,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
89,2023-07-04,Groceries,500,Credit card,1 week groceries are buyed,0.0
90,2023-07-14,Netflix,300,Credit card,Subscription fees for movies and TV shows on the platform,0.0
91,2023-07-21,Shopping,1000,Cash,Expenditures on clothing and personal items for everyday use,0.0
92,2023-07-22,Netflix,300,Cash,Subscription fees for movies and TV shows on the platform,0.0
93,2023-07-24,YouTube,300,Online,Republican cost toward very front.,0.0
94,2023-07-19,Transportation,1500,Cash,Statement especially suggest.,0.0
95,2023-07-01,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
96,2023-07-29,Audible,299,Credit card,Wall necessary participant long claim it.,0.0
97,2023-07-25,Health,2000,Online,"Costs for medical care,health insurance and wellness services",307.31
98,2023-07-02,Netflix,300,Cash,Subscription fees for movies and TV shows on the platform,0.0
99,2023-07-25,Health,2000,Online,"Costs for medical care,health insurance and wellness services",0.0
100,2023-07-02,Disney Hotstar,499,Online,Major market top.,68.12
0,2023-08-08,Spotify,350,Credit card,Subscription fees for music and podcasts from the service,0.0
1,2023-08-16,Transportation,1500,Online,Finally picture fight year.,0.0
2,2023-08-22,House Rent,6000,Debit card,Monthly payment is paid,0.0
3,2023-08-19,wifi,600,Debit card,Costs associated with internet connectivity,0.0
4,2023-08-14,Entertainment,250,Debit card,Cost just choice point arm reality.,0.0
5,2023-08-28,Spotify,350,Cash,Subscription fees for music and podcasts from the service,0.0
6,2023-08-12,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
7,2023-08-19,Netflix,300,Credit card,Subscription fees for movies and TV shows on the platform,0.0
8,2023-08-28,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
9,2023-08-09,Shopping,1000,Cash,Expenditures on clothing and personal items for everyday use,0.0
10,2023-08-06,Audible,299,Cash,Professor college teacher environmental seem.,0.0
11,2023-08-03,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
12,2023-08-02,Food,200,Debit card,Machine station similar.,0.0
13,2023-08-14,Food,200,Debit card,Pattern structure continue why.,0.0
14,2023-08-14,House Rent,6000,Cash,Monthly payment is paid,0.0
15,2023-08-07,Food,200,Online,Know blue probably cause suffer north.,37.83
16,2023-08-11,Disney Hotstar,499,Online,Worker those including beautiful Mrs.,64.88
17,2023-08-05,Health,2000,Debit card,"Costs for medical care,health insurance and wellness services",0.0
18,2023-08-09,Entertainment,250,Cash,Young leave possible force of.,0.0
19,2023-08-25,Audible,299,Credit card,Into because large force example easy.,0.0
20,2023-08-19,House Rent,6000,Debit card,Monthly payment is paid,0.0
21,2023-08-09,Netflix,300,Credit card,Subscription fees for movies and TV shows on the platform,0.0
22,2023-08-10,School fees,5000,Online,halfyearly exam fees paid,700.0
23,2023-08-21,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
24,2023-08-28,House Rent,6000,Debit card,Monthly payment is paid,0.0
25,2023-08-28,Gas,1000,Online,Expenses for fuel used in heating and cooking,108.81
26,2023-08-23,House Rent,6000,Debit card,Monthly payment is paid,0.0
